product_id,Screen_Appearance,Voice_Clarity,Signal_Receiving_Strength,App_Comaptiability,product_length,product_width,product_thickness,Overall_Quality
204375,SlightlyGood,Average,AboveAverage,SlightlyGood,4.21,2.66,0.316,Good
212332,VeryGood,SlightlyPoor,SlightlyPoor,Average,5.85,1.81,0.345,Poor
188208,SlightlyPoor,SlightlyPoor,VeryPoor,SlightlyGood,4.33,2.54,0.337,Poor
191492,SlightlyGood,AboveAverage,VeryPoor,SlightlyGood,6.13,2.2,0.369,Good
214555,BelowAverage,Average,SlightlyPoor,Average,5.3,2.48,0.351,Poor
191585,Average,SlightlyGood,Average,SlightlyGood,4.94,2.68,0.36,Good
119967,AboveAverage,Poor,VeryGood,BelowAverage,4.7,2.75,0.335,Good
194618,VeryPoor,SlightlyPoor,SlightlyPoor,VeryGood,5.61,2.36,0.325,Poor
187217,VeryGood,SlightlyPoor,Excellent,SlightlyPoor,4.88,2.71,0.376,Good
120186,Average,VeryPoor,AboveAverage,VeryPoor,4.85,2.6,0.39,Poor
194025,Excellent,AboveAverage,Poor,Excellent,4.46,2.19,0.309,Good
148200,Excellent,VeryGood,VeryGood,VeryGood,5.08,2.08,0.352,VeryGood
210932,VeryGood,AboveAverage,SlightlyPoor,VeryGood,6.1,1.95,0.392,Good
184871,Average,SlightlyGood,Excellent,Excellent,4.21,2.53,0.353,VeryGood
177137,SlightlyGood,VeryPoor,Average,Good,5.13,2.63,0.328,Good
124048,AboveAverage,VeryPoor,SlightlyPoor,Excellent,5.31,1.89,0.339,Poor
191109,BelowAverage,AboveAverage,BelowAverage,Poor,5.08,1.79,0.353,Poor
163456,Average,SlightlyGood,Good,Poor,5.8,2.23,0.393,Good
150338,Good,Excellent,Average,Average,5.08,2.58,0.338,Good
201310,BelowAverage,Average,BelowAverage,AboveAverage,5.83,2.54,0.314,Poor
183310,Excellent,VeryPoor,Good,SlightlyGood,5.73,1.95,0.33,Good
139446,SlightlyPoor,VeryGood,Excellent,Average,5.57,2.47,0.38,Good
174564,Excellent,Average,Poor,Excellent,5.7,2.58,0.343,Good
168948,AboveAverage,VeryPoor,AboveAverage,VeryGood,5.57,2.78,0.302,Good
163157,VeryPoor,Excellent,Average,Good,4.25,2.05,0.306,Good
113944,VeryPoor,SlightlyGood,Excellent,Average,5.87,2.82,0.307,Good
211634,Good,BelowAverage,Poor,Excellent,4.58,1.85,0.305,Good
149025,Excellent,Good,SlightlyPoor,BelowAverage,6.03,2.38,0.346,Good
126716,SlightlyPoor,Good,Excellent,SlightlyGood,4.99,1.81,0.357,Good
186030,Poor,Poor,BelowAverage,Good,4.44,2.16,0.369,Poor
170821,BelowAverage,SlightlyPoor,VeryGood,VeryPoor,5.03,1.8,0.392,Poor
211897,BelowAverage,Good,SlightlyGood,VeryGood,4.55,2.17,0.319,Good
119630,AboveAverage,SlightlyPoor,SlightlyGood,BelowAverage,5.99,1.94,0.388,Poor
170201,BelowAverage,SlightlyGood,Poor,SlightlyGood,6.06,1.87,0.383,Poor
153770,SlightlyPoor,SlightlyGood,Good,AboveAverage,5.59,2.86,0.318,Good
146551,Excellent,AboveAverage,BelowAverage,SlightlyPoor,5.67,2.54,0.385,Good
207650,BelowAverage,VeryPoor,SlightlyPoor,Good,5.3,2.84,0.336,Poor
168466,VeryPoor,BelowAverage,VeryPoor,AboveAverage,4.52,2.73,0.321,Poor
141042,Average,VeryGood,AboveAverage,SlightlyGood,4.67,1.91,0.329,Good
211517,Excellent,VeryGood,BelowAverage,VeryGood,5.8,2.59,0.313,VeryGood
161865,Poor,AboveAverage,SlightlyPoor,SlightlyPoor,4.76,1.85,0.38,Poor
164964,SlightlyPoor,SlightlyPoor,Good,BelowAverage,5.31,2.57,0.38,Poor
129227,Good,SlightlyPoor,Good,SlightlyPoor,5.51,2.27,0.366,Good
162817,BelowAverage,Good,SlightlyGood,Good,5.24,2.52,0.339,Good
183752,Poor,Excellent,Excellent,SlightlyPoor,6.19,2.88,0.384,Good
206709,AboveAverage,VeryPoor,BelowAverage,VeryGood,4.76,1.87,0.367,Poor
128463,VeryGood,Poor,Average,BelowAverage,5.93,2.44,0.346,Poor
120950,Poor,VeryPoor,Good,BelowAverage,5.27,2.56,0.335,Poor
111256,Poor,Poor,Poor,VeryGood,4.82,2.39,0.331,Poor
117828,SlightlyPoor,VeryPoor,VeryGood,SlightlyPoor,5.75,2.34,0.357,Poor
211854,SlightlyPoor,Excellent,SlightlyGood,Poor,4.32,2.27,0.347,Good
189553,Good,Poor,Average,BelowAverage,4.78,2.7,0.314,Poor
194368,Good,Average,SlightlyPoor,SlightlyGood,4.89,1.83,0.303,Good
179234,Good,BelowAverage,AboveAverage,Excellent,4.26,1.78,0.328,Good
146736,Average,BelowAverage,Good,Average,4.62,2.25,0.395,Good
116503,SlightlyPoor,BelowAverage,Excellent,Poor,5.6,2.38,0.397,Poor
169597,AboveAverage,BelowAverage,Poor,SlightlyGood,4.45,2.81,0.304,Poor
186166,Good,SlightlyPoor,AboveAverage,BelowAverage,5.99,1.91,0.316,Good
193877,Excellent,Poor,SlightlyGood,VeryPoor,6.05,2.54,0.37,Poor
146207,VeryPoor,VeryGood,Average,VeryGood,6.05,2.69,0.329,Good
179085,AboveAverage,VeryGood,Excellent,Good,5.58,2.11,0.391,VeryGood
130967,Excellent,SlightlyPoor,Good,Poor,5.42,2.6,0.353,Good
209396,Good,Poor,BelowAverage,VeryPoor,5.36,2.64,0.318,Poor
119580,AboveAverage,Poor,VeryGood,VeryPoor,6.15,2.5,0.377,Poor
139870,SlightlyPoor,VeryGood,Good,Poor,4.52,1.89,0.348,Good
179103,SlightlyPoor,BelowAverage,SlightlyPoor,Good,6.1,2.48,0.377,Poor
136908,VeryPoor,BelowAverage,Excellent,BelowAverage,5.81,2.69,0.301,Poor
158362,SlightlyGood,VeryGood,SlightlyPoor,Poor,5.89,2.02,0.357,Good
202881,Excellent,VeryGood,SlightlyPoor,SlightlyGood,6.12,2.13,0.342,Good
144766,Good,SlightlyPoor,AboveAverage,Good,5,2.39,0.327,Good
155404,Average,SlightlyPoor,SlightlyPoor,Average,5.81,1.77,0.304,Poor
157120,VeryGood,VeryPoor,SlightlyPoor,Excellent,4.39,1.86,0.364,Good
184319,VeryGood,Poor,Good,SlightlyPoor,4.88,1.77,0.36,Good
148641,SlightlyGood,VeryGood,VeryGood,Excellent,6.1,2.88,0.354,VeryGood
186432,BelowAverage,Average,BelowAverage,VeryGood,5.57,2.68,0.306,Good
177048,Excellent,SlightlyPoor,Poor,Good,5.42,2.43,0.395,Good
194326,AboveAverage,Poor,Excellent,SlightlyGood,5.83,2.62,0.384,Good
163214,VeryGood,Poor,SlightlyPoor,VeryPoor,4.35,2.24,0.324,Poor
162236,VeryGood,AboveAverage,SlightlyPoor,Poor,4.48,1.83,0.367,Poor
207693,VeryPoor,Average,AboveAverage,Poor,5.76,2.82,0.345,Poor
209197,VeryGood,VeryPoor,SlightlyGood,AboveAverage,4.8,2.31,0.379,Good
129324,SlightlyPoor,Poor,VeryGood,Poor,5.07,2.69,0.316,Poor
165100,SlightlyPoor,BelowAverage,BelowAverage,Good,5.1,1.84,0.328,Poor
161204,Good,VeryPoor,VeryPoor,Excellent,4.52,2.68,0.387,Poor
162494,VeryPoor,Good,VeryGood,SlightlyGood,6.12,2.59,0.341,Good
197687,SlightlyGood,VeryGood,SlightlyGood,AboveAverage,5.58,2.71,0.395,Good
145272,Good,SlightlyGood,BelowAverage,VeryGood,4.92,2.19,0.364,Good
209577,AboveAverage,BelowAverage,Excellent,VeryPoor,4.42,2.36,0.346,Good
193283,SlightlyGood,VeryPoor,VeryGood,Average,4.36,1.76,0.36,Good
191553,SlightlyPoor,VeryGood,VeryGood,SlightlyGood,4.49,1.78,0.356,Good
150593,Poor,Average,SlightlyPoor,Good,4.82,2.58,0.396,Poor
194740,AboveAverage,Excellent,SlightlyGood,BelowAverage,5.43,2.69,0.307,Good
212680,BelowAverage,SlightlyPoor,AboveAverage,Excellent,5.06,2.15,0.349,Good
153183,VeryPoor,Good,VeryGood,Excellent,6.03,2.78,0.333,Good
204985,VeryPoor,SlightlyGood,BelowAverage,Average,5.95,2.64,0.335,Poor
201844,VeryGood,VeryPoor,VeryGood,Excellent,5.93,2.83,0.374,Good
181803,Average,Average,VeryPoor,Excellent,5.07,2.65,0.384,Good
182174,VeryGood,Excellent,Poor,Poor,5.24,2.49,0.392,Good
205980,Poor,Excellent,BelowAverage,Good,4.85,2.72,0.31,Good
170097,Good,Excellent,BelowAverage,VeryGood,4.65,2.35,0.371,VeryGood
188470,Average,VeryPoor,SlightlyGood,AboveAverage,4.76,2.33,0.327,Poor
123919,VeryPoor,VeryGood,Excellent,SlightlyGood,4.82,2.78,0.309,Good
159027,BelowAverage,BelowAverage,Poor,Average,5.95,2.17,0.331,Poor
149129,AboveAverage,SlightlyGood,VeryPoor,Poor,4.93,2.58,0.342,Poor
189757,SlightlyPoor,VeryGood,VeryGood,BelowAverage,5.85,2.87,0.385,Good
170144,AboveAverage,SlightlyGood,SlightlyGood,Excellent,4.48,2.64,0.397,Good
178879,Good,BelowAverage,SlightlyPoor,Good,6.02,2.16,0.379,Good
211558,BelowAverage,Excellent,VeryGood,Good,4.49,2,0.322,VeryGood
163058,AboveAverage,Good,Poor,Average,4.46,2.7,0.334,Good
160634,Average,SlightlyGood,Poor,Good,5.84,2.65,0.336,Good
207055,Excellent,Excellent,BelowAverage,VeryPoor,5.6,2.01,0.398,Good
191387,Poor,Excellent,SlightlyGood,Poor,4.89,1.83,0.309,Good
113116,BelowAverage,AboveAverage,Poor,Good,4.65,2.02,0.342,Poor
200069,SlightlyPoor,AboveAverage,BelowAverage,VeryGood,4.86,2.66,0.336,Good
119199,VeryPoor,Average,VeryPoor,BelowAverage,4.95,2.49,0.339,Poor
181827,Excellent,BelowAverage,SlightlyGood,VeryGood,4.51,2.35,0.344,Good
206189,Excellent,VeryGood,VeryPoor,VeryGood,4.79,2.09,0.39,Good
134332,Excellent,Average,SlightlyGood,SlightlyPoor,5.12,2.39,0.357,Good
151178,AboveAverage,BelowAverage,Excellent,AboveAverage,4.98,2.31,0.329,Good
207323,VeryGood,Good,BelowAverage,Poor,5.83,2.14,0.368,Good
167013,Good,BelowAverage,Poor,Excellent,4.3,2.32,0.3,Good
213181,AboveAverage,Good,VeryPoor,SlightlyPoor,5.48,2.59,0.374,Poor
214006,SlightlyGood,SlightlyGood,VeryGood,Average,4.79,1.77,0.366,Good
116765,AboveAverage,BelowAverage,SlightlyGood,SlightlyPoor,4.68,1.78,0.39,Poor
127754,SlightlyGood,VeryGood,Average,Average,4.53,2.55,0.34,Good
196006,Good,AboveAverage,Excellent,Excellent,5.92,2.37,0.299,VeryGood
179848,Excellent,VeryPoor,Poor,BelowAverage,4.54,2.73,0.361,Poor
119567,AboveAverage,VeryPoor,VeryGood,VeryGood,4.58,2.1,0.39,Good
174796,VeryGood,SlightlyGood,Average,VeryGood,4.53,1.94,0.367,Good
124721,VeryGood,SlightlyGood,Poor,Average,4.59,2.03,0.304,Good
147901,SlightlyPoor,VeryPoor,VeryPoor,VeryPoor,6.05,2.3,0.352,Poor
149912,SlightlyPoor,Excellent,VeryPoor,Excellent,5.32,2.77,0.321,Good
138368,Good,Good,SlightlyPoor,VeryGood,4.46,2.49,0.34,Good
144191,AboveAverage,Poor,VeryGood,Poor,5.25,2.81,0.304,Poor
132195,Average,Excellent,Excellent,SlightlyGood,5.03,2.84,0.308,VeryGood
203958,VeryGood,SlightlyGood,Good,SlightlyPoor,4.23,2.37,0.367,Good
137816,VeryGood,Average,BelowAverage,SlightlyGood,5.84,1.81,0.335,Good
164168,Excellent,Good,Poor,Average,6.16,1.99,0.353,Good
171036,AboveAverage,SlightlyGood,AboveAverage,BelowAverage,4.59,2.26,0.326,Good
152578,AboveAverage,Average,VeryPoor,Poor,5.66,2.35,0.316,Poor
138928,VeryGood,SlightlyPoor,Poor,SlightlyGood,5.36,2.18,0.308,Good
132925,BelowAverage,Average,SlightlyPoor,Average,4.71,2.3,0.346,Poor
152644,VeryGood,VeryGood,Poor,Excellent,5.96,1.96,0.365,Good
164692,Excellent,Good,BelowAverage,Excellent,4.63,2.28,0.376,VeryGood
207254,VeryPoor,VeryPoor,Good,BelowAverage,6.16,2.87,0.303,Poor
169658,VeryPoor,VeryGood,VeryPoor,VeryPoor,5.77,2.64,0.322,Poor
154049,Poor,SlightlyGood,Poor,Good,4.93,2.33,0.386,Poor
194418,Poor,VeryPoor,BelowAverage,Average,5.61,2.09,0.377,Poor
145722,Average,Average,VeryPoor,VeryPoor,5.17,2.59,0.362,Poor
137262,Average,Poor,Good,BelowAverage,6.19,1.89,0.354,Poor
157165,Good,Excellent,BelowAverage,Good,5.53,2.72,0.332,Good
120432,SlightlyGood,SlightlyPoor,Excellent,BelowAverage,4.57,2.62,0.35,Good
162345,BelowAverage,VeryPoor,SlightlyGood,VeryGood,5.55,2.88,0.398,Good
162221,Excellent,VeryPoor,Good,Poor,4.39,2.01,0.35,Good
115448,AboveAverage,VeryGood,Good,Average,4.75,2.28,0.387,Good
203655,Average,Excellent,VeryGood,Poor,6.11,2.34,0.379,Good
150257,Excellent,AboveAverage,VeryPoor,Average,4.31,2.47,0.373,Good
148502,Excellent,Excellent,Excellent,Average,4.33,1.83,0.329,VeryGood
170991,AboveAverage,SlightlyPoor,Average,BelowAverage,6,2.32,0.367,Poor
120047,Poor,Poor,Average,AboveAverage,5.5,2.49,0.31,Poor
121956,VeryGood,BelowAverage,SlightlyGood,VeryPoor,4.87,2.82,0.317,Good
169487,Poor,VeryGood,Excellent,SlightlyGood,4.74,2.24,0.344,Good
117631,Good,Average,SlightlyPoor,SlightlyGood,5.88,2.71,0.348,Good
114185,Good,Average,Good,VeryGood,5.85,2.46,0.308,Good
162374,Poor,SlightlyGood,VeryGood,VeryGood,4.28,2.44,0.354,Good
167346,SlightlyPoor,VeryPoor,SlightlyGood,VeryGood,5.58,2.83,0.355,Poor
213280,SlightlyPoor,SlightlyGood,AboveAverage,Good,5.99,2.78,0.338,Good
146164,Average,AboveAverage,SlightlyPoor,VeryPoor,5.21,2.04,0.328,Poor
156762,VeryPoor,BelowAverage,Poor,VeryGood,4.22,2.11,0.373,Poor
111535,SlightlyGood,Excellent,SlightlyGood,AboveAverage,4.49,2.58,0.372,Good
212951,SlightlyGood,VeryGood,VeryGood,AboveAverage,6.03,1.8,0.304,VeryGood
150741,AboveAverage,Excellent,SlightlyGood,SlightlyPoor,5.24,1.8,0.375,Good
115994,Poor,VeryGood,SlightlyPoor,VeryGood,6.04,1.84,0.35,Good
135567,SlightlyGood,Good,VeryGood,AboveAverage,4.4,2.76,0.338,Good
133547,SlightlyGood,VeryGood,SlightlyPoor,SlightlyPoor,4.63,1.99,0.351,Good
171788,SlightlyPoor,Excellent,BelowAverage,SlightlyGood,4.72,2.59,0.331,Good
213801,VeryGood,VeryGood,Good,AboveAverage,5.17,1.99,0.325,VeryGood
161774,SlightlyGood,Excellent,BelowAverage,Average,5.32,1.79,0.386,Good
138426,VeryGood,AboveAverage,VeryGood,VeryPoor,4.77,2.35,0.321,Good
133185,AboveAverage,Good,Poor,Poor,4.36,1.89,0.363,Poor
135323,SlightlyPoor,BelowAverage,Poor,Excellent,4.8,2.71,0.311,Poor
127984,Average,Good,VeryPoor,AboveAverage,5.99,2.09,0.378,Poor
115184,AboveAverage,SlightlyGood,VeryPoor,AboveAverage,6.09,1.77,0.385,Poor
202442,SlightlyPoor,Average,VeryPoor,SlightlyGood,6.13,2.69,0.392,Poor
205078,Good,VeryGood,Average,Excellent,4.79,2.58,0.337,VeryGood
210694,SlightlyGood,BelowAverage,SlightlyPoor,AboveAverage,6.18,2.01,0.309,Poor
203300,Poor,Good,AboveAverage,Excellent,5.58,2.3,0.359,Good
179737,SlightlyGood,BelowAverage,VeryPoor,SlightlyGood,5.47,2.77,0.3,Poor
172971,Average,VeryPoor,AboveAverage,SlightlyGood,5.17,2.58,0.317,Poor
194862,VeryPoor,Average,SlightlyGood,VeryGood,4.68,2.75,0.365,Good
157935,Excellent,AboveAverage,SlightlyPoor,SlightlyGood,5.19,2.61,0.303,Good
169201,Poor,Good,Excellent,SlightlyPoor,5.37,1.8,0.362,Good
119372,SlightlyPoor,Poor,Poor,SlightlyGood,5.41,2.52,0.376,Poor
155444,SlightlyGood,VeryGood,Poor,SlightlyGood,4.4,2.32,0.329,Good
167552,SlightlyPoor,Poor,Good,VeryGood,5.04,2.16,0.38,Good
140179,VeryGood,Good,Average,VeryPoor,5.59,2.56,0.324,Good
118295,VeryPoor,SlightlyPoor,Good,SlightlyGood,5.61,2.05,0.34,Poor
142975,Average,SlightlyPoor,Poor,VeryPoor,6.04,1.94,0.324,Poor
178032,Poor,Average,AboveAverage,Poor,4.68,2.76,0.305,Poor
128960,VeryGood,Average,AboveAverage,Excellent,5.27,2.2,0.333,Good
202077,Average,AboveAverage,VeryGood,SlightlyPoor,5.31,2.76,0.327,Good
144715,Excellent,Good,Average,VeryGood,4.63,2.7,0.373,VeryGood
172124,SlightlyPoor,SlightlyGood,AboveAverage,Good,4.58,2.51,0.358,Good
142982,Good,Excellent,BelowAverage,SlightlyGood,5.52,2.82,0.345,Good
172971,Poor,SlightlyPoor,VeryGood,SlightlyGood,5.24,2.44,0.32,Good
114096,VeryPoor,Average,Average,VeryGood,4.51,1.91,0.324,Poor
147329,Good,Good,SlightlyGood,VeryPoor,4.42,2.46,0.325,Good
129617,BelowAverage,Good,SlightlyPoor,Average,4.57,1.93,0.308,Poor
203294,Excellent,Average,Excellent,Poor,5.99,2.06,0.343,Good
155566,Poor,SlightlyPoor,BelowAverage,SlightlyGood,4.38,2.41,0.373,Poor
148084,AboveAverage,Good,Good,VeryPoor,5.58,2.77,0.363,Good
194194,Poor,Excellent,AboveAverage,BelowAverage,5.71,2.65,0.362,Good
113642,Excellent,SlightlyPoor,Poor,Excellent,5.33,2.78,0.375,Good
142854,Poor,SlightlyGood,Excellent,BelowAverage,5.62,2.75,0.324,Good
164329,VeryGood,VeryPoor,SlightlyGood,SlightlyGood,5.35,2.63,0.37,Good
124656,SlightlyPoor,AboveAverage,AboveAverage,AboveAverage,4.4,2.29,0.361,Good
113934,Good,Average,SlightlyPoor,VeryGood,4.24,2.71,0.341,Good
189742,Average,SlightlyPoor,BelowAverage,Average,4.39,2.51,0.332,Poor
185207,AboveAverage,Excellent,AboveAverage,Good,4.46,2.57,0.319,Good
156634,SlightlyGood,Good,Excellent,VeryGood,5.79,2.77,0.304,VeryGood
212695,SlightlyPoor,Poor,VeryPoor,SlightlyGood,6.12,1.99,0.345,Poor
206188,Excellent,Good,VeryPoor,SlightlyPoor,5.98,2.17,0.332,Good
138141,Excellent,SlightlyPoor,BelowAverage,SlightlyGood,4.93,2.41,0.365,Good
154452,Excellent,Good,VeryPoor,BelowAverage,4.24,2.04,0.39,Good
117998,Good,VeryPoor,Good,VeryPoor,5.29,2.23,0.395,Poor
136844,Good,SlightlyGood,AboveAverage,SlightlyGood,4.27,2.58,0.34,Good
191000,VeryGood,VeryGood,SlightlyGood,Average,4.46,2.46,0.378,Good
145782,Excellent,VeryGood,Average,BelowAverage,5.69,1.91,0.326,Good
166129,VeryPoor,SlightlyGood,VeryPoor,Average,4.5,2.53,0.314,Poor
214176,VeryPoor,Poor,VeryGood,Excellent,5.15,2.55,0.379,Good
154244,Poor,Excellent,Average,SlightlyGood,6.07,2.33,0.324,Good
149085,Good,VeryPoor,Poor,SlightlyGood,4.9,1.79,0.339,Poor
112591,AboveAverage,Poor,SlightlyGood,Average,5.76,1.81,0.343,Poor
203917,Average,Good,Good,AboveAverage,5,2.7,0.384,Good
151162,VeryGood,VeryPoor,Average,VeryGood,4.91,2.46,0.318,Good
133632,Excellent,AboveAverage,AboveAverage,VeryGood,5.56,2.11,0.348,VeryGood
122982,SlightlyPoor,SlightlyPoor,VeryPoor,Good,5.26,2.65,0.323,Poor
149968,Good,SlightlyPoor,VeryGood,AboveAverage,4.99,2.24,0.31,Good
213712,BelowAverage,AboveAverage,SlightlyGood,SlightlyGood,5.22,2.66,0.358,Good
117687,AboveAverage,BelowAverage,Average,Poor,5.7,2.87,0.358,Poor
163008,Excellent,SlightlyGood,BelowAverage,AboveAverage,5.27,2.09,0.365,Good
153844,SlightlyGood,SlightlyGood,Good,Average,4.62,2.67,0.332,Good
200214,Average,BelowAverage,Average,SlightlyGood,6.04,2.65,0.357,Good
179965,Good,Poor,AboveAverage,SlightlyPoor,4.99,2.27,0.33,Poor
117219,BelowAverage,AboveAverage,Good,Excellent,6.05,1.94,0.338,Good
166839,VeryPoor,BelowAverage,Poor,Good,4.31,2.3,0.309,Poor
144198,AboveAverage,BelowAverage,Excellent,Excellent,4.43,2.42,0.348,Good
200378,BelowAverage,VeryGood,Good,Average,5.92,2.03,0.384,Good
155788,BelowAverage,SlightlyPoor,VeryPoor,AboveAverage,5.68,2.3,0.329,Poor
180680,VeryGood,Poor,Good,VeryGood,6.11,2.72,0.38,Good
151245,VeryPoor,SlightlyPoor,Excellent,Excellent,4.77,1.8,0.338,Good
146960,Poor,BelowAverage,Poor,SlightlyGood,6,2.16,0.324,Poor
197475,Average,SlightlyPoor,Good,Excellent,4.36,2.25,0.391,Good
142985,Poor,Poor,SlightlyPoor,VeryGood,4.81,2.46,0.391,Poor
147388,Good,AboveAverage,SlightlyGood,Good,5.65,2.54,0.362,Good
166034,AboveAverage,Poor,VeryPoor,Good,5.62,2.34,0.348,Poor
160211,AboveAverage,Poor,Average,VeryGood,5.75,2.59,0.343,Good
166810,Average,BelowAverage,VeryGood,Poor,5.32,2.89,0.354,Poor
117232,SlightlyPoor,AboveAverage,Excellent,BelowAverage,5.82,2.64,0.333,Good
161180,SlightlyPoor,Excellent,VeryGood,Average,4.3,2.53,0.392,Good
137549,SlightlyGood,Good,Average,BelowAverage,4.85,2.65,0.328,Good
158173,BelowAverage,SlightlyPoor,AboveAverage,BelowAverage,4.67,2.29,0.366,Poor
174845,Average,SlightlyGood,AboveAverage,SlightlyGood,4.38,2.88,0.37,Good
185561,Excellent,SlightlyPoor,VeryGood,VeryGood,5.26,2.2,0.326,VeryGood
126867,AboveAverage,Poor,VeryGood,Average,5.34,1.95,0.356,Good
174484,Average,VeryPoor,SlightlyGood,BelowAverage,4.45,1.91,0.315,Poor
118766,SlightlyGood,SlightlyGood,SlightlyPoor,VeryGood,4.41,2.86,0.316,Good
193176,AboveAverage,Average,AboveAverage,BelowAverage,5.04,2.71,0.355,Good
147852,Average,Excellent,VeryPoor,SlightlyGood,4.74,2.23,0.397,Good
136277,VeryPoor,Average,VeryGood,VeryPoor,5.18,2.36,0.365,Poor
210865,VeryGood,AboveAverage,BelowAverage,SlightlyPoor,5.21,2.13,0.385,Good
118433,VeryGood,Poor,SlightlyPoor,VeryGood,4.36,2.26,0.34,Good
211317,Poor,VeryGood,BelowAverage,Good,5.15,2.66,0.346,Good
124170,Excellent,VeryPoor,BelowAverage,SlightlyGood,6.03,2.26,0.372,Good
196613,BelowAverage,VeryGood,AboveAverage,BelowAverage,5.93,1.84,0.383,Good
140472,Poor,AboveAverage,SlightlyPoor,Good,5.57,2.79,0.311,Poor
